The Adventures of Huckleberry Finn,Mark Twain,Justice and honor are celebrated in this story about Huck’s adventures on the Mississippi River with the runaway slave Jim.,1884
All Quiet on the Western Front,Erich Maria Remarque,"Though the war he describes is World War I Remarque writes eloquently of all wars in this tale of a young German sent to fight in the trenches.",1929
The Call of the Wild,Jack London,"When his beloved master is killed, the dog Buck flees to the wild, where he becomes the leader of a wolf pack. Rousing adventure set in Alaska’s Klondike country.",1903
